,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TSPAN32,4.43612863924548e-18,0.287656095195108,0.273,0.236,1.52824631622007e-13
NDUFAB1,1.07116574246754e-16,-0.276006439668221,0.299,0.326,3.69016598280068e-12
ZNF655,1.26468309626888e-16,0.252717983625795,0.27,0.235,4.3568332666463e-12
UHMK1,2.0730979424638e-15,-0.279272796140974,0.252,0.283,7.14182241178778e-11
COMT,2.07785555423705e-15,-0.305830300800426,0.234,0.261,7.15821238434662e-11
PAK2,3.52089265319438e-15,-0.28003289907725,0.347,0.377,1.21294751902546e-10
TRGC2,2.11669976975151e-14,0.439173608860915,0.263,0.235,7.29203070679396e-10
RECQL,6.13427183567748e-14,-0.255303910276632,0.228,0.255,2.11325664739089e-09
CD3E,2.45497530167655e-13,0.29429433344181,0.478,0.483,8.4573899142757e-09
SMARCA5,2.85504880316637e-13,-0.300256385436455,0.232,0.261,9.83564312690815e-09
ZCCHC17,3.32416763432611e-13,-0.268895537116781,0.223,0.252,1.14517575002534e-08
PSMD9,1.39762711185591e-11,-0.262708722389024,0.26,0.286,4.81482540034361e-07
REL,3.31714168526724e-11,-0.259147133355342,0.309,0.336,1.14275531057456e-06
CDC26,1.54352410149512e-10,-0.263524541407339,0.236,0.257,5.31744052965069e-06
XIST,0.00429879103575654,0.262250315313685,0.301,0.289,1
IFNG,0.356025431959625,0.575084179325132,0.247,0.258,1
