,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
EPRS,6.48011537601422e-120,-0.715552671783775,0.252,0.316,2.2323997470369e-115
SNX2,1.18777141392106e-119,-0.883175505444263,0.194,0.257,4.09187252095805e-115
YPEL3,2.51797464581713e-119,0.388081843904776,0.4,0.314,8.67442265484e-115
NRDC,8.0873322451179e-119,-0.811910274799971,0.23,0.293,2.78608595844312e-114
MIA3,1.06618675312924e-118,-0.715163160532788,0.239,0.304,3.67301336453022e-114
RGCC,1.24460438635493e-118,0.371298418727826,0.297,0.212,4.28766211099274e-114
DDX24,1.75493069770492e-118,-0.371457856093576,0.636,0.656,6.04573625359345e-114
CFDP1,1.1473190094844e-117,-0.750168901584748,0.288,0.348,3.95251398767375e-113
GRK6,7.63165864000685e-117,0.392636945907387,0.294,0.21,2.62910640148236e-112
SZRD1,3.92160867845096e-116,-0.714088289704044,0.197,0.263,1.35099418972636e-111
RNMT,4.49490171849459e-116,-0.582959673216422,0.341,0.399,1.54849364202138e-111
ORAI1,5.64319768076575e-116,0.406013413578106,0.302,0.218,1.9440816010238e-111
FAM162A,6.71722161084498e-116,-0.619458195817477,0.286,0.349,2.31408284493609e-111
DPM1,7.06796909001944e-116,-0.752881826459197,0.187,0.251,2.4349153515117e-111
DCP2,9.69037424853151e-116,-0.795272299301284,0.208,0.27,3.33833392861911e-111
PABPC4,9.87713336508505e-116,0.371451597252219,0.292,0.21,3.4026724442718e-111
UBE2B,2.05726384782821e-115,-0.511982037947537,0.459,0.503,7.08727395576818e-111
PPP4R2,2.26602248417059e-115,-0.791839579964117,0.238,0.298,7.80644745796768e-111
NSMCE1,2.27476717055393e-115,0.365207236260067,0.282,0.199,7.8365729025583e-111
PPM1K,4.92204145234627e-115,-0.666203088175592,0.269,0.335,1.69564328033329e-110
EPB41L4A-AS1,1.06492261209019e-114,0.331406725127879,0.354,0.265,3.6686583986507e-110
PDCD2,3.82263163157127e-114,0.304207766694871,0.344,0.254,1.3168965970763e-109
SAMD3,5.42306008218239e-114,-0.892282610594521,0.401,0.432,1.86824419831183e-109
ALKBH7,9.43292389950607e-114,0.317101553807456,0.394,0.302,3.24964228337984e-109
AATF,9.86925360740686e-114,-0.792697547714714,0.23,0.291,3.39995786775166e-109
POMP,2.28551703871913e-113,0.280543366183309,0.47,0.374,7.87360619838741e-109
SUPT20H,9.61398920118531e-112,-0.817692549273845,0.198,0.259,3.31201927980834e-107
ETFA,4.13145072914635e-111,-0.850473620642567,0.206,0.266,1.42328477619092e-106
CRBN,2.1391492347796e-110,-0.535120084015866,0.421,0.469,7.36936911381572e-106
DNAJB6,5.22833540131735e-110,-0.559755140466807,0.393,0.444,1.80116154575383e-105
APEX1,5.44682969250405e-110,0.254434419645233,0.396,0.302,1.87643282906765e-105
AQP3,2.29408774095138e-109,0.438742970332439,0.323,0.242,7.90313226757751e-105
SCAMP2,3.47394832421588e-109,0.327697326573098,0.273,0.192,1.19677519769237e-104
CNOT7,3.86308651347271e-108,0.262888929779627,0.348,0.259,1.33083330389135e-103
CYCS,1.42678183855108e-107,0.299113320163167,0.478,0.383,4.91526343380849e-103
MDH1,3.36228785455832e-106,0.271377588190428,0.354,0.264,1.15830816589534e-101
CMTM7,6.35653606215186e-106,-0.782314392679705,0.234,0.293,2.18982667341132e-101
MGMT,3.79563435687686e-105,-0.880146173247713,0.245,0.298,1.30759603594408e-100
LRRFIP1,1.56330542224542e-104,-0.403033800055189,0.604,0.629,5.38558717963546e-100
ITGB1BP1,8.9741802096454e-104,0.315206620860229,0.26,0.184,3.09160508222284e-99
HNRNPM,1.46070232392603e-103,-0.363018531484138,0.603,0.617,5.03211950592517e-99
ACTR3,3.0098023731858e-103,-0.385187684343942,0.64,0.651,1.03687691756251e-98
SEC63,5.95480520324015e-103,-0.79430209752058,0.198,0.257,2.05143039251623e-98
ZBTB44,6.14411221379803e-103,-0.853918775916065,0.201,0.258,2.11664665765342e-98
USP16,5.32311432162633e-102,-0.532409788220554,0.344,0.402,1.83381288380027e-97
RANBP1,6.8203927009704e-102,0.264564442994455,0.378,0.29,2.3496252854843e-97
ANKRD36C,9.44158031450468e-102,-0.775176789554378,0.201,0.261,3.25262441834686e-97
MESD,1.24513020633826e-100,0.267891763966542,0.278,0.199,4.28947356083531e-96
GTF3C6,1.51181192024902e-100,0.312659480957873,0.288,0.209,5.20819206525788e-96
FAM177A1,2.80492394780839e-99,-0.664220967423885,0.206,0.267,9.6629630001999e-95
CCT5,2.03792285317068e-98,0.274739136435535,0.334,0.25,7.02064422917298e-94
GPR183,2.56753113182479e-98,0.463119056777912,0.347,0.272,8.84514474913641e-94
GLIPR2,3.33307103666421e-98,0.325397806881487,0.264,0.191,1.14824297213082e-93
CTDNEP1,3.55961658834043e-98,0.357597208450747,0.253,0.179,1.22628791468328e-93
