,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
UCP2,1.04088094706354e-73,0.2878818374058,0.578,0.517,3.58583486263391e-69
CD69,5.09888625755824e-73,-0.306406712492309,0.603,0.641,1.75656631572881e-68
MTF2,9.99669493445699e-73,-0.505545566754943,0.209,0.265,3.44386140492043e-68
BRD7,1.11008459884222e-72,-0.376450359973321,0.296,0.357,3.82424144301143e-68
TACC1,1.57552739763673e-72,-0.505582078954347,0.201,0.256,5.42769188485854e-68
HNRNPU,4.93970900935413e-72,0.250323460986354,0.692,0.652,1.7017297537225e-67
EZR,7.96589979472981e-72,-0.412188061598097,0.451,0.504,2.74425247928442e-67
VDAC1,9.02689792161846e-72,0.396877549559018,0.291,0.227,3.10976633399756e-67
TMEM219,1.42971492088641e-71,0.331254364828353,0.393,0.324,4.92536790245368e-67
CCDC107,5.72561166655332e-71,0.351127680304285,0.338,0.269,1.97247321912762e-66
LMAN2,2.03347526049676e-70,0.32556328273875,0.415,0.346,7.00532227241134e-66
RBCK1,2.13745650890089e-70,0.390512732862353,0.31,0.244,7.36353767316356e-66
ADSS,2.39156949473397e-70,-0.426304064004401,0.236,0.295,8.23895690935851e-66
PSMD8,2.57759284659764e-70,0.269641346492263,0.458,0.385,8.87980735652885e-66
