,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TPR,2.29724671249418e-08,0.283113779142001,0.361,0.312,0.000791401492454244
PFDN2,2.45975088514262e-08,-0.309288378014567,0.262,0.299,0.000847384179931634
SNRPC,3.45113890736771e-08,0.253447561422769,0.269,0.218,0.00118891735358817
TMEM219,4.54496723283723e-08,0.262607509452553,0.279,0.228,0.00156574121171243
CSTB,4.8211335708648e-08,-0.332646414429606,0.277,0.312,0.00166088051516292
FDFT1,5.09504780889762e-08,-0.370099978210359,0.226,0.263,0.00175524397016523
XIST,6.40519642764417e-08,0.591108849811781,0.278,0.239,0.00220659016932342
IDI1,1.29033745910625e-07,-0.331793294546311,0.238,0.275,0.00444521254662102
MRPL20,1.69627508279884e-07,-0.29961135663868,0.246,0.281,0.00584366766024201
CCR7,1.93425560419959e-07,0.274147306859881,0.349,0.298,0.0066635105564676
KIF5B,1.94312878116149e-07,-0.318548404267841,0.232,0.268,0.00669407865110134
GADD45GIP1,2.35131994904492e-07,0.265620094100056,0.309,0.259,0.00810029722445976
BRD7,2.96070629039642e-07,-0.342447019490406,0.221,0.256,0.0101996331704157
CCT6A,2.97384662024081e-07,0.254011943112002,0.255,0.208,0.0102449016067296
DUT,3.08648281365077e-07,0.250509649896956,0.27,0.225,0.0106329332930269
SPINT2,4.1626837261201e-07,0.287624363605641,0.278,0.234,0.0143404454364838
ZNF800,4.9938649035729e-07,-0.333996110622215,0.225,0.261,0.0172038645928086
YTHDC1,5.86091650883018e-07,-0.32969262776827,0.314,0.346,0.02019085737292
IFT57,6.02081475892025e-07,-0.294379592456659,0.324,0.359,0.0207417068444803
KIAA0040,6.02676331333573e-07,-0.285178211676402,0.325,0.356,0.0207621996144416
DHX36,8.48051983045393e-07,-0.301249804929185,0.274,0.31,0.0292153908159138
TERF2IP,8.68877226232299e-07,-0.266348802029388,0.333,0.361,0.0299328204437027
