,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
RASGRP1,3.5630431368403e-41,-1.29834624134424,0.167,0.291,1.22746836064148e-36
ISG15,5.82131214133067e-41,0.967728953570187,0.355,0.199,2.00544203268842e-36
GSDMD,7.85229834669107e-41,0.966506893900518,0.304,0.154,2.70511678043507e-36
YBEY,9.77500460142904e-41,1.05908280442178,0.273,0.131,3.36748908519231e-36
ZFC3H1,1.40974325784541e-40,-0.967669348748748,0.287,0.413,4.85656552327745e-36
PPP1CC,1.42905459938326e-40,0.638712301642446,0.536,0.366,4.92309309487532e-36
ETS1,1.47673007726434e-40,-0.721099413271641,0.384,0.518,5.08733511617566e-36
NDUFA1,1.49601070143866e-40,0.444976980255735,0.736,0.577,5.15375686645617e-36
DIAPH1,2.09481629162569e-40,-1.21902584008759,0.182,0.307,7.21664212465051e-36
CNTRL,2.24576514814514e-40,-0.819443569588469,0.372,0.497,7.73666093536002e-36
WAS,3.31221936090744e-40,0.701036910686995,0.417,0.252,1.14105956983261e-35
CAPN2,5.89446259117089e-40,0.941310176905647,0.335,0.185,2.03064236265837e-35
CDK5RAP3,5.97395564489974e-40,1.06476868456313,0.278,0.136,2.05802771966796e-35
SCAND1,6.50617539279846e-40,0.649787351172467,0.554,0.385,2.24137742281907e-35
TTC39C,7.26055911881388e-40,-1.36457035584751,0.156,0.276,2.50126261643138e-35
RASGRP3,8.39321005712145e-40,-1.15576837720404,0.256,0.38,2.89146086467834e-35
NDUFS7,8.89873929405372e-40,0.697269104258522,0.436,0.264,3.06561568680151e-35
RSF1,9.53233153453345e-40,-0.847481889594701,0.376,0.492,3.28388821364677e-35
C4orf48,1.07279347837242e-39,0.887772642580942,0.335,0.181,3.69577353299299e-35
SEC31A,1.15191592009343e-39,-1.09792256398183,0.214,0.34,3.96835034472186e-35
NOP56,1.40361630476113e-39,0.850414945783512,0.369,0.209,4.83545816990211e-35
CEP350,1.60904907603901e-39,-0.92926857011601,0.247,0.381,5.54317406695439e-35
RALA,1.67298463472722e-39,-1.28799039646625,0.161,0.28,5.76343206663526e-35
BTLA,1.71753577883654e-39,-1.34133301463933,0.15,0.266,5.9169107580919e-35
SNHG9,1.74185019288491e-39,0.975799118209791,0.321,0.174,6.0006739144885e-35
ARIH2,1.84048270457024e-39,-1.07771904902816,0.178,0.304,6.34046291724449e-35
ZNF326,1.84391550410741e-39,-1.18768000064002,0.16,0.285,6.35228891165001e-35
DIDO1,2.38693482325415e-39,-1.0810441414197,0.17,0.297,8.22299046611054e-35
ARPP19,2.89159214303989e-39,-1.01016372499634,0.263,0.388,9.96153493277243e-35
TYMP,3.03158101709027e-39,0.934428154170049,0.325,0.176,1.0443796603876e-34
IGHA2,3.92559836104833e-39,1.7927257550863,0.314,0.18,1.35236863538115e-34
CELF1,3.9874483542942e-39,-0.917952853630289,0.31,0.435,1.37367595805435e-34
TOP2B,4.23861450978743e-39,-1.13738464587345,0.167,0.291,1.46020269862177e-34
PTBP1,4.80418485013028e-39,0.897135797117002,0.318,0.169,1.65504168086988e-34
IRF9,4.91305771252438e-39,-1.11965680756405,0.149,0.27,1.69254838196465e-34
ACBD3,5.19247914083117e-39,-1.01490132853222,0.248,0.374,1.78880906401634e-34
HSP90AA1,5.54574985299333e-39,0.375341077924473,0.879,0.808,1.9105108243562e-34
PPP6R2,7.02100970076929e-39,-1.21715686626046,0.156,0.277,2.41873784191502e-34
DNAJC4,8.27485231120355e-39,0.995004779634606,0.281,0.14,2.85068662120962e-34
GOSR1,8.30549073858974e-39,-1.26962257046999,0.149,0.268,2.86124155944416e-34
KDM5A,1.02836734774142e-38,-0.853774203421662,0.289,0.425,3.54272551296918e-34
PLD4,1.23927705943063e-38,1.08430397778445,0.31,0.169,4.26930946973853e-34
NDUFB9,1.42168982496054e-38,0.55822135505742,0.539,0.368,4.89772144698905e-34
RNF167,1.44644338915838e-38,1.00455903648091,0.267,0.128,4.98299747565061e-34
RNF187,2.45751781959695e-38,1.06551103033317,0.262,0.126,8.4661488885115e-34
YTHDC2,2.61866737328775e-38,-1.17519550219386,0.152,0.272,9.02130910097629e-34
SDCCAG8,2.72593707935889e-38,-1.27507415196793,0.172,0.29,9.39085323839137e-34
CCNC,2.89631172132989e-38,-1.1171556573846,0.187,0.309,9.97779387998148e-34
HIST1H1C,2.91402523149126e-38,-1.01834132598528,0.212,0.339,1.00388169224874e-33
NOP58,3.10737733925493e-38,-0.960080435801172,0.344,0.453,1.07049149337332e-33
MAF1,3.21975318693515e-38,0.635499922193407,0.51,0.344,1.10920497289916e-33
YWHAB,3.47185564281312e-38,0.406686650866501,0.793,0.67,1.19605426894912e-33
TUFM,4.3101696372783e-38,0.699883224299665,0.456,0.288,1.48485344004237e-33
PYURF,6.37052163756602e-38,0.627310955723218,0.471,0.3,2.19464470414149e-33
EAPP,6.46740431597651e-38,-0.754952694041184,0.391,0.506,2.22802078685391e-33
CD47,6.80494884138228e-38,-0.589973763007832,0.533,0.638,2.34430487585619e-33
WDR1,6.85166382746113e-38,0.916808533935334,0.331,0.183,2.36039818856036e-33
TUBA4A,7.97680552430794e-38,0.628356234563625,0.494,0.318,2.74800950312409e-33
ORAI2,9.70839167960065e-38,0.754032375589381,0.472,0.318,3.34454093362243e-33
COX7B,1.91400843329276e-37,0.483594829273308,0.665,0.503,6.59375905269356e-33
KIAA2026,2.09310450277831e-37,-1.15715179920583,0.198,0.319,7.21074501207129e-33
C9orf16,3.78154915350997e-37,0.530649191907812,0.607,0.451,1.30274368338418e-32
KLC1,4.28029617594503e-37,-1.10231873500872,0.155,0.275,1.47456203261306e-32
APH1A,6.60821769860606e-37,0.740769294710722,0.426,0.266,2.27653099716979e-32
TULP4,1.0032053857723e-36,-1.23520486890908,0.137,0.252,3.45604255398556e-32
CNR2,1.01611759691568e-36,-1.05675062801727,0.221,0.344,3.50052512137451e-32
FXR1,1.45149012036125e-36,-0.810849461591163,0.361,0.475,5.0003834646445e-32
ESCO1,1.52485892026583e-36,-1.05147504564503,0.197,0.32,5.25313898031578e-32
JTB,1.63297289835689e-36,0.439646297121408,0.696,0.549,5.62559163483947e-32
ZNF581,1.63584147661528e-36,0.851985173077209,0.346,0.197,5.63547388693964e-32
UBE3A,1.77728564604615e-36,-1.00043562395944,0.24,0.362,6.12274905062898e-32
NDFIP1,2.06353626041949e-36,-1.01424280788338,0.25,0.366,7.10888241714513e-32
LAMTOR4,2.20157963576302e-36,0.472665516356212,0.696,0.554,7.58444184520362e-32
LONP2,2.26890193046374e-36,-0.932634015780785,0.215,0.342,7.8163671504476e-32
CAPG,2.66518940194607e-36,0.635266725406684,0.499,0.342,9.18157748970419e-32
NAA10,3.61416410677703e-36,0.848981210118163,0.325,0.18,1.24507953478469e-31
TOMM22,3.81149378231665e-36,0.66454139968267,0.439,0.275,1.31305960800809e-31
CDC42SE1,4.17029081692616e-36,0.637021831654616,0.53,0.367,1.43666518643106e-31
IRF1,4.72245384478406e-36,0.988197586823593,0.499,0.36,1.62688534952811e-31
NUP160,4.87264676224546e-36,-1.17921012354994,0.166,0.282,1.67862680959356e-31
DHX15,5.35936992287486e-36,-1.00630811346533,0.156,0.276,1.84630293843039e-31
ETF1,5.79516844300181e-36,-1.16576478142039,0.163,0.281,1.99643552861412e-31
ADGRE5,8.17374934677918e-36,-1.50153827894984,0.231,0.341,2.81585664996543e-31
RNASET2,8.47250738814657e-36,0.347525755390908,0.851,0.749,2.91877879521649e-31
CHMP4B,1.70576824194543e-35,0.92651280620613,0.311,0.173,5.876371593502e-31
NSRP1,2.26650707209554e-35,-0.938914990889525,0.236,0.362,7.80811686336915e-31
SPOP,2.29567946780126e-35,-0.994591500144451,0.23,0.347,7.90861576657533e-31
DYNLT1,2.3608947298524e-35,-1.03787319580318,0.198,0.317,8.13328234434151e-31
STRAP,3.6200543563579e-35,-0.845375501868396,0.344,0.451,1.2471087257653e-30
MFNG,4.37083252875674e-35,0.990497441254212,0.253,0.126,1.5057518061567e-30
PREX1,5.85239285043537e-35,-1.06892517341773,0.196,0.316,2.01614933697499e-30
PHACTR4,6.26386516008986e-35,-1.25381279101997,0.153,0.264,2.15790154765096e-30
CNBP,6.37363455139245e-35,0.413291688689945,0.765,0.632,2.1957171029547e-30
TPM3,8.14949480428693e-35,0.38671874310941,0.81,0.697,2.80750096007685e-30
NAA15,8.16476909123409e-35,-1.03496439640634,0.195,0.312,2.81276295193014e-30
ZFX,9.48586688726165e-35,-1.13242068882224,0.172,0.287,3.26788114266164e-30
SYNE1,1.02548264456902e-34,-1.23492762630263,0.142,0.256,3.53278771054026e-30
MS4A1,1.07277681804754e-34,0.26730605116966,0.983,0.961,3.69571613817378e-30
CDS2,1.1272777563654e-34,-1.28761886931051,0.143,0.254,3.88347187067879e-30
IL2RG,1.14536499056086e-34,0.523131305296469,0.61,0.455,3.94578239248215e-30
CSNK2B,1.29002365067482e-34,0.626188931216958,0.476,0.316,4.44413147657474e-30
IMPDH2,1.80718043055697e-34,0.797850574250843,0.347,0.201,6.22573658326877e-30
MTPN,1.86534386458381e-34,-0.51640665242797,0.658,0.739,6.42610961349121e-30
SPEN,2.07012038434117e-34,-0.991607993119475,0.194,0.315,7.13156472405532e-30
PAXX,2.10113566341297e-34,0.823563415574959,0.331,0.187,7.23841236045767e-30
AP2B1,2.11642572147132e-34,-1.02460068051677,0.213,0.331,7.29108661046869e-30
SIN3A,2.63850797123525e-34,-1.10952805344477,0.156,0.271,9.08965996090544e-30
CNOT1,2.73933738514426e-34,-0.815240356126381,0.29,0.409,9.43701729182199e-30
IGHM,2.92388268530991e-34,1.00779228460526,0.592,0.537,1.00727758508927e-29
BRD2,2.94408901372933e-34,0.649679378477338,0.476,0.318,1.01423866522975e-29
KDM2B,3.02789094837399e-34,-1.20422662957722,0.16,0.273,1.04310843171484e-29
PPA2,3.08366268725716e-34,-1.0929949436548,0.192,0.306,1.06232179576009e-29
FIP1L1,3.28537845477973e-34,-1.00926228948653,0.225,0.342,1.13181287767162e-29
PSMD4,3.50315909484587e-34,0.584346140681574,0.468,0.306,1.2068383081744e-29
BRK1,3.7676755599726e-34,0.431804181869244,0.662,0.497,1.29796423041056e-29
ROMO1,4.09941165272747e-34,0.722309280406827,0.367,0.22,1.41224731436461e-29
TMEM109,4.55856236443138e-34,0.849012504307517,0.267,0.134,1.57042473454661e-29
CYLD,4.84667209082811e-34,-0.815154827013869,0.337,0.447,1.66967853529029e-29
C18orf32,6.56428814592301e-34,-0.86874586173133,0.239,0.358,2.26139726627048e-29
IGHG1,7.7130898255858e-34,0.637179079049482,0.555,0.409,2.65715944491431e-29
PIP4P1,8.60670344228868e-34,0.885993650712122,0.266,0.135,2.96500933586845e-29
MCM5,8.887825368131e-34,0.875772527975629,0.274,0.142,3.06185583932113e-29
HMGB2,1.09357536872254e-33,0.627026124477212,0.47,0.314,3.76736714524915e-29
UCP2,1.17899956039262e-33,0.429694960354279,0.786,0.68,4.06165348555259e-29
NDUFA11,1.18862494877589e-33,0.470250933564093,0.617,0.461,4.09481294853295e-29
KLF2,1.20403650583908e-33,-0.546041369661092,0.785,0.832,4.14790576261564e-29
MDH2,1.35255866505873e-33,0.577534852876294,0.458,0.3,4.65956460112731e-29
CCT7,1.39090304158925e-33,0.634667087360463,0.433,0.273,4.79166097827497e-29
